event_id,track_id,phi
0,0,1.2400999002927886
0,1,-2.5498589250729733
0,2,2.988423371570267
0,3,1.6407891386670412
0,4,1.7973950398246918
0,5,-2.3366309591134007
0,6,-0.311734346044068
0,7,-0.8117999558004185
0,8,2.6814435075521947
0,9,0.9039312087064584
1,0,-1.6951154884919029
1,1,-2.9065226303195892
1,2,0.3446482297430862
1,3,-0.8110192095198223
1,4,2.072130068508108
1,5,1.9368011201909
1,6,-1.1489502218709065
1,7,2.8456508247327443
1,8,-1.3137019673913508
1,9,0.09460673315701307
2,0,-0.11994331642529765
2,1,-1.0784383548565484
2,2,0.22264335082287223
2,3,2.190070141725773
2,4,0.9587345362688406
2,5,1.9125502609826137
2,6,0.20560012419373308
2,7,0.835146095279458
2,8,-1.33105753237724
2,9,1.4758772661849688
3,0,-1.7741922922243012
3,1,0.5548445225356313
3,2,-1.1495658578264978
3,3,-2.9150220326789307
3,4,-0.5127076436201179
3,5,-0.16252919580948255
3,6,-1.7241508586845937
3,7,0.45526662078147817
3,8,0.41325703841912453
3,9,1.2692171363709148
4,0,-2.45495176772388
4,1,1.1014777503094164
4,2,1.3399407657012814
4,3,1.7198377721361835
4,4,2.2962312131559113
4,5,1.5043922848080387
4,6,1.8904319668721197
4,7,-2.83394459144316
4,8,-1.667964842319872
4,9,0.7659062986492513
5,0,-0.5401899843043059
5,1,-1.1458291027199952
5,2,-2.6508231458198432
5,3,-2.9541352644562933
5,4,-0.9646030566840551
5,5,-3.021997575688277
5,6,-2.101802406633887
5,7,1.4148685329920854
5,8,1.3074757945999638
5,9,1.499044778770254
6,0,-0.5430687040623345
6,1,-0.31504330988276497
6,2,-1.6005850778364077
6,3,1.3210095599392844
6,4,2.207500707027018
6,5,2.3535250151752676
6,6,-1.0095687330971832
6,7,0.19383874410989277
6,8,-1.5808091866118132
6,9,-1.6034908718009546
7,0,2.1310922529028016
7,1,-2.272445472680818
7,2,1.7237033035452178
7,3,-2.414601929571737
7,4,-0.690757118237876
7,5,3.1328559787428087
7,6,-1.9315088227677197
7,7,-2.17421093369732
7,8,-0.48505981626113703
7,9,0.7518995241056721
8,0,0.48293164512781583
8,1,1.9238545752734302
8,2,-2.071307368387155
8,3,3.0073470204697177
8,4,-0.008547979077842882
8,5,-0.03975951740123129
8,6,2.9586560077738273
8,7,-0.7493806756224366
8,8,-0.6438692600696574
8,9,0.5325169370077361
9,0,1.2870371416922204
9,1,-0.10720126058770774
9,2,-0.2739226394808387
9,3,-0.7141376860107465
9,4,-0.8695989438884424
9,5,-0.6816826182578892
9,6,-2.57765644458765
9,7,-2.655047380435902
9,8,1.7584740909411538
9,9,-0.33883400686233545
10,0,1.8410045787296134
10,1,2.185523493435043
10,2,3.10907222865933
10,3,2.3430753022340403
10,4,2.44980771252078
10,5,-1.1664862791154436
10,6,-0.6178781763243348
10,7,-1.4571642619076075
10,8,0.667898816886503
10,9,2.757095354265397
11,0,-2.8218995698780525
11,1,1.5689475060819058
11,2,-1.5229648486507275
11,3,2.3034712276702223
11,4,1.546090709964858
11,5,2.423457062440457
11,6,-1.7848971828962312
11,7,0.1966181772974318
11,8,1.7547048062060604
11,9,-1.597815638425928
12,0,1.5656074041738117
12,1,-1.0458366563301595
12,2,-1.0638878049542018
12,3,-2.3422083591392697
12,4,-1.9558788682506996
12,5,2.202387636298349
12,6,-0.33751802096741734
12,7,-1.7098571251414938
12,8,1.6294881892084563
12,9,0.3391734165975038
13,0,1.6577811669727138
13,1,-1.3520937972115603
13,2,1.8067650258099963
13,3,0.8316113103058322
13,4,2.6965083454761025
13,5,3.0222423633807143
13,6,-2.8755241722969793
13,7,-0.3459662508955259
13,8,0.2952329765283359
13,9,-2.2195777267714436
14,0,-2.3959207644652363
14,1,2.7460751276707462
14,2,2.48015282495384
14,3,-1.97308091111549
14,4,-1.1104531986345525
14,5,0.5506267851350555
14,6,1.3701260695895714
14,7,-0.36030288300019464
